model,configuration,precision,recall,f1,accuracy,TP,FP,FN,TN
flan_default,default,0.45534924845269675,0.7152777777777778,0.5564559697460832,0.32512626262626265,1545,1848,615,744
flan_treatment_mode,treatment_mode,0.7553224313483493,0.7688442211055276,0.7620233463035021,0.5151515151515151,2448,793,736,775
gemma3_default,default,0.8252148997134671,0.7673179396092362,0.7952139898757479,0.5454545454545454,2592,549,786,825
gemma3_treatment_mode,treatment_mode,0.7917314267951507,0.771350696547547,0.781408191440405,0.5359848484848485,2547,670,755,780
llama3_default,default,0.8367010309278351,0.6142900393581593,0.7084497206703911,0.42697811447811446,2029,396,1274,1053
llama3_treatment_mode,treatment_mode,0.7962787764112268,0.7610006027727547,0.7782400986284482,0.5313552188552189,2525,646,793,788
mistral_default,default,0.6040213377102995,0.5384052670080468,0.5693289499129761,0.30976430976430974,1472,965,1262,1053
mistral_treatment_mode,treatment_mode,0.780718336483932,0.7608228431071539,0.7706422018348624,0.5214646464646465,2478,696,779,799
qwen3_default,default,0.46587171052631576,0.47188671386922115,0.4688599213738879,0.23842592592592593,1133,1299,1268,1052
qwen3_treatment_mode,treatment_mode,0.7359389895138226,0.7425456877204232,0.7392275774018512,0.48737373737373735,2316,831,803,802
phi3_default,default,0.4888015717092338,0.5022204279370206,0.4954201513341298,0.2617845117845118,1244,1301,1233,974
phi3_treatment_mode,treatment_mode,0.7290592783505154,0.7248558616271621,0.726951493735946,0.4762205387205387,2263,841,859,789
